nameOrig,nameDest
C808123778,C670911579
C62681320,C256019432
C1590597747,C1436345407
C69262804,C184276313
C1669461567,C296636948
C56291735,C805068359
C704507023,C112496749
C685472024,C1263738407
C726897835,C1726300653
C129477513,C91538557
C1566707278,C602670387
C1981124007,C1736645191
C943429403,C587895659
C553513958,C11496787
C790657819,C1015129370
C1971495917,C1372080644
C291856649,C36171798
C1590215168,C570100197
C1302764067,C980204606
C2025250743,C853135758
C1013539467,C1837371206
C240174949,C548968582
C1358475157,C2063468013
C526104034,C810428162
C892337143,C1849450000
C157043342,C1688054746
C808701406,C1552767226
C958369349,C263594357
C1143831312,C717457157
C1344337508,C1747512511
C1399631152,C1809373351
C562603757,C737813822
C565708339,C1146906376
C1295626334,C1591727513
C1725095137,C1013007824
C1818685780,C884861479
C1525709143,C556811469
C736115396,C1356560402
C1334605245,C188456359
C1462443777,C404961715
C1689105143,C1060436977
C724518577,C865267719
C1743841929,C1592444844
C1365280532,C1545422742
C263330018,C976234179
C769473714,C1210418106
C1426652467,C1126506281
C1488152510,C1857468027
C1986043169,C1525831962
C1591622963,C65768918
C16543901,C78608590
C2036894219,C2088591729
C1685275913,C227545037
C159657868,C1690700607
C776296914,C539179335
C632733968,C1359436924
C1080039034,C1847394608
C1177268219,C1638650804
C504218378,C1348633841
C1678080481,C311662903
C142855536,C184504359
C747033630,C1374333939
C1396329157,C676611824
C2133999018,C1446453350
C1013917653,C1446598356
C1823652418,C1993233351
C1452906763,C97610078
C1594978700,C1237901794
C1061376089,C1357467583
C838526667,C1184037373
C1078602056,C1730776320
C1006712051,C610188199
C1674056910,C7017040
C3787312,C1817164059
C990038035,C88303425
C87710362,C1009743323
C653738135,C381650452
C1750165043,C1586198130
C1170106746,C1308948803
C302450141,C371685909
C241700082,C1880967272
C1835762674,C1240962507
C1529402012,C179882292
C1898651081,C1430547712
C1072332930,C684066961
C238022814,C295758941
C328105973,C1982516353
C979561752,C1000038201
C1279486663,C1916234224
C1395652510,C219223224
C534985571,C142776255
C262272270,C1616436199
C1482924911,C1561600039
C1960590586,C1193122248
C1919035681,C406613212
C1928051686,C1672439184
C936777231,C761050956
C578340835,C1189329641
C1102109100,C267474589
C1856728823,C1224339164
C1766484803,C110112472
C225046102,C854088442
C1255357422,C156391182
C2134522005,C129235306
C1167086658,C111150518
C122227192,C1186396268
C1419136692,C267785573
C2059811363,C1568516937
C168321049,C274799488
C1507291750,C1481876205
C1539755438,C1671125822
C294058688,C1807083782
C1633867467,C104901112
C485184812,C359186396
C1898795170,C477198705
C1474028733,C231529143
C544781315,C1244305302
C1727842069,C675598051
C2110731048,C420175275
C1975111200,C1798380739
C145199129,C1964186862
C355368688,C1367620735
C889046536,C763137899
C1485901196,C328904644
C1217963057,C1059399837
C1293177693,C1353412978
C1306898736,C988452828
C1795362097,C2006462570
C781241701,C1628490605
C1721330787,C431224160
C911187656,C2088748221
C21493165,C1396343112
C732611187,C810825326
C239302975,C1747698589
C752891980,C1004564443
C158451860,C522999760
C1435783164,C29206048
C801300202,C1289530751
C1742462306,C484017606
C719336784,C1140768897
C712434293,C532695309
C1939419692,C353699873
C1237410597,C641142577
C848347126,C2059726781
C1109293817,C85997889
C316784641,C1951372697
C502451141,C1412433456
C1460234086,C455371315
C59518078,C1646353431
C145449769,C1204156026
C1820126077,C774901446
C1884455875,C959787032
C316653163,C1171923050
C1102980402,C136216749
C1242700155,C1819908439
C783992673,C2046274703
C1098455099,C1297589
C1910387347,C1793318767
C735912978,C1928222780
C1394900935,C1694514831
C1511333208,C1521903631
C1524626979,C331541395
C408986846,C1632801900
C1749690962,C963801415
C440862174,C767849377
C1057789531,C178525945
C584553264,C1859910612
C469120386,C774709106
C960342743,C808724169
C1649954277,C1611581678
C1398342989,C1406293991
C1656720552,C1681915681
C761862803,C1897049400
C2086051846,C839166254
C1283235090,C355867699
C1503229971,C1477159815
C786865657,C2080090641
C73198575,C572791972
C1446475845,C1951958993
C115382576,C1611495327
C1208323216,C1099254514
C1583842619,C646976515
C825539118,C444761385
C1205194109,C1568538856
C934976729,C1827902617
C552204086,C2121470921
C2047431288,C1829215963
C584528396,C2072007638
C1078111332,C2019798977
C787614454,C1426458508
C939985538,C1681915160
C345186611,C1337708863
C751860626,C539247862
C1742861195,C1489922739
C1794501153,C327221208
C1888509149,C1939915273
C1060552863,C326846
C184359686,C635629038
C763475346,C259358260
C2087043063,C771128036
C1734272471,C1279063877
C827816028,C1126043711
C796059320,C146252642
C52146666,C783678793
C856965560,C292700398
C1843278545,C927786937
C651383060,C1065034930
C567226709,C1942359116
C810007893,C423973896
C747850038,C73618436
C284489281,C195132477
C1214855315,C402986612
C1931846312,C106419152
C991769952,C602090862
C614548605,C2074771446
C906364962,C591677452
C1465344635,C1285563720
C2073520668,C161208241
C1740610001,C1769185018
C421180855,C1065470233
C1974622293,C1686634273
C892672885,C883841715
C778009875,C968607764
C1654964834,C19385186
C378121830,C447379904
C248412383,C12411240
C1369694513,C1962165634
C1359129850,C1064225986
C170115618,C1602127918
C2010536761,C1713359611
C959616667,C1324041964
C2098432059,C884082028
C1773496169,C419686187
C746579701,C744535294
C22293423,C1239019385
C1625766382,C1904645675
C573281460,C570121934
C1907398218,C2083574589
C1369035392,C677974509
C149465364,C469840928
C471706255,C1359531182
C1262767116,C944936424
C1033379028,C902949918
C1740085652,C654784119
C485158310,C2076906951
C1760568969,C1885331547
C1247261499,C273354501
C668852588,C825806210
C1987759645,C68849953
C906406094,C1788171656
C1500263738,C372970173
C1297251161,C1472642531
C1418967802,C815381455
C1702824004,C245808794
C1326192157,C1605150360
C1056910140,C1220871044
C1857405032,C452835258
C179925654,C1072014153
C1548056268,C955433178
C1215945980,C736016142
C1304820039,C1380090822
C222141486,C2066841636
C2058971219,C59480907
C2082592196,C725233002
C516687046,C1079284884
C2138126301,C93257529
C1320891280,C1282080076
C1019625590,C1352040365
C1112705308,C266682722
C1562718097,C2045669823
C1712706688,C303009903
C1521987625,C82967872
C709738627,C505564342
C1583365116,C1213750275
C379147620,C763923658
C1908971878,C228872610
C902104580,C1836460059
C1780835483,C185707071
C919285454,C910464570
C66949848,C481030367
C504713605,C1017113849
C1599471456,C33637801
C2134120608,C258739874
C442186994,C1927715837
C1999224180,C1094789795
C691209453,C641453100
C1048496130,C1478931958
C826372672,C2115710209
C1262308306,C698606307
C1638800477,C1039647966
C1185375026,C440795879
C1081524508,C31022905
C1868579049,C56017390
C1057458263,C1447157471
C15461352,C695944516
C1233017136,C1774557417
C1133013597,C872070745
C1252786111,C1885157225
C551135713,C2059464244
C1812543399,C548168339
C244960099,C1125722655
C1379390059,C1578921443
C1062010733,C646026494
C450708268,C497893132
C1524584903,C1973736987
C907502717,C778273688
C1861767749,C535782460
C516728981,C695464317
C1052611554,C1213840392
C864300228,C1449007636
C532822667,C52799433
C1680978406,C1384423741
C109580163,C479376037
C678486802,C598398921
C1622046857,C801045461
C1899007575,C1494652884
C643918204,C437946880
C1943917827,C1951142084
C543539458,C2144064748
C2033705412,C918169336
C711109880,C1613459602
C1733283787,C2003968237
C1797450269,C1674714857
C1290017493,C16810457
C1336389540,C542934513
C511137819,C261122623
C289774054,C1313835093
C767664655,C1883201664
C103864828,C2007963097
C125618230,C1929781526
C1459641758,C736098776
C1679481393,C1698083465
C1861040519,C1720393609
C612751131,C1182083424
C970420897,C2140758958
C1401690047,C1953159387
C1805440156,C199770617
C1292539726,C375376867
